ID,Is_Lead
VBENBARO,0.0242
CCMEWNKY,0.7947
VK3KGA9M,0.0239
TT8RPZVC,0.0148
SHQZEYTZ,0.0146
MZZAQMPT,0.04
Y88TW36I,0.0348
3UGOAQNU,0.0211
VVUKMUJT,0.9557
9R363ZXS,0.116
BLISM6JE,0.0211
CH8S7JK7,0.1364
EAHDPXEJ,0.6586
BNUK9PRF,0.1322
GP2PG6FJ,0.0223
WNQCSN8A,0.0186
32DN4YVZ,0.2036
GXAMDANM,0.0212
MXETLUP4,0.0344
MPXK6TVE,0.6902
LBSIME2K,0.0314
D6ORJTM6,0.0234
HGDIBAKA,0.6329
UUZYL9DZ,0.1438
AUGE3VWK,0.0212
MX7GOX6Q,0.039
TQN6K35W,0.0363
QQDRMQQN,0.1764
UP6GC6F4,0.0272
BMHBUVHB,0.3562
KGLDW86A,0.0313
FQEOMOP4,0.0483
DYWM5MEU,0.1278
DXHGXV8F,0.0276
AVFBFQKC,0.1173
DBIDKYMV,0.0339
KYZHMEBY,0.1204
SSFEBUGF,0.0204
MGJTAG8X,0.1814
MP6BERDO,0.0714
GXZ8ED68,0.0197
ICTFGWQR,0.2222
EAYHTRKH,0.0146
6FN97QLQ,0.0456
3H5MZDDW,0.178
2DXZZWSN,0.0282
MM4QIRE5,0.0356
HJWVYXUA,0.1023
RBRSJUP3,0.6805
YFRQKGXW,0.2105
N3SADEBV,0.0252
G2A2YYXY,0.0205
XMGA3WT3,0.038
KVZQPSGI,0.0281
UAKARBBG,0.0181
WYKKL85Z,0.1174
GHNYYGRR,0.0402
UBAJANWT,0.0211
LSARSF7U,0.0143
4CNSJVVR,0.1556
JRHJSWYO,0.191
FHZ8SVVI,0.0354
JUIRE47M,0.7594
GDIVN2GL,0.0338
WMF3DYE3,0.621
MAQEHEWK,0.1271
2W8DLKFU,0.0226
AKGRML6H,0.0563
B7WUUGCY,0.0237
TLJOYATM,0.115
UH6ZDM3W,0.7901
7IP5SSRR,0.5489
PV85PMEB,0.1309
FGDOY4NI,0.08
